actual,predicted
"syrian official  obama climbed to the top of the tree, ""does not  know how to get down"". obama sends a letter to the heads of the house and senate. obama to seek congressional approval on military action against syria. aim is to determine whether cw were used, not by whom, says united nations . spokesman. ",###
usain bolt wins third gold of world championship. anchors jamaica to  x m relay victory. eighth gold at the championships for bolt. jamaica double up in womens  x m relay. ,###
"the employee in agencys kansas city office is among hundreds of ""virtual"" workers. the employees travel to and from the mainland american . last year cost more than   , . the telecommuting program, like all gsa practices, is under review. ",###
"new  a canadian doctor says she was part of a team examining harry burkhart in  . new  diagnosis  ""autism, severe anxiety, post traumatic stress disorder and depression"". burkhart is also suspected in a german arson probe, officials say. prosecutors believe the german national set a string of fires in los angeles. ",###
another arrest made in gang rape outside california school. investigators say up to   people took part or stood and watched the assault. four suspects appeared in court thursday; three wore bulletproof vests. ,###
"humanitarian groups expect  ,  refugees in one camp, a united nations . official says. others have fled across the border to united nations . camps in liberia, he says. this follows attacks that killed   united nations . peacekeepers and   civilians. ",###
"new    groups announce legal challenge in phoenix. american civil liberties union, aclu of arizona, national immigration law center slam law. mexican american legal defense and educational fund also objects to it. they say law encourages racial profiling, but supporters say it does not  involve any illegal acts. ",###
labor day is the unofficial end of summer and the unofficial start to campaign season. as much as   .  billion could be spent on advertising for this midterm election. here are five must follow races for these midterms. ,###
new  autopsy indicates he had been dead for hours before police arrived. youtube video appears to show the activist bound and blindfolded. the activist and freelance journalist was from the lombardy region in northern italy. ,###
"the radio personality was taken to a hospital sunday. spokesman for hospital says casey kasem being treated for wounds, blood pressure issues. he had been at a friends home in washington state after his wife took him there. she has been feuding with three stepchildren over the radio icons care. ",###
hawaiian airlines again lands at no.   in on time performance. the airline quality rankings report looks at the   largest american . airlines. expressjet and american airlines had the worst on time performance. virgin america had the best baggage handling; southwest had lowest complaint rate. ,###
the   new cardinals will be installed on february  . they come from countries such as myanmar and tonga. no americans made the list this time or the previous time in francis' papacy. ,###
"new  bermudan premier  ""above all, this was a humanitarian act"". uyghurs are native chinese muslims; the detainees were apprehended in pakistan. china urges american . to hand over all   uyghurs held at guantanamo bay, cuba. official says american . still negotiating with palau to take remaining   uyghurs. ",###
"a   year old boy is the latest victim of a man eating leopard, a local police chief says. he suspects one leopard is behind the deaths of   people in the past   months. a reward has been offered to anyone who captures or kills the man eating creature. leopards are common in low mountain areas of nepal but usually eat wild prey like deer. ",###
"new  kyle white  ""without this team, there would be no medal of honor"". new  he vows to ""live up to the responsibility"" of having the top military award. new  obama calls white ""a soldier who embodies the courage of his generation"". the army vet, then  , braved enemy fire to save his wounded comrades in afghanistan. ",###
"the consumer electronics show brings a slew of new gadgets. tablets running googles android and microsofts windows   will debut. ultrabooks, a new type of thinner laptop, are expected to make a splash. but some of the largest players in the consumer electronics industry are shunning ces. ",###
"manchester united again named footballs most valuable brand. the   time english champions are worth a reported    million. germanys bayern munich second on the list, worth an estimated    million. spanish rivals real madrid and barcelona both see small decreases in brand value. ",###
cnns sara sidner sees another world in a tunnel below tripoli. gadhafi may have recorded his taped messages in a studio there. rebels are methodically searching through the winding passages. ,###
"new  cheney  harsh interrogations, warrantless eavesdropping ""essential"". new  former vice president says bush rebuffed his advice on two big issues. ""an administration has to be able to respond to [crises] and we did,"" cheney said. cheney cites costs of dealing with  /  attacks, wars in afghanistan and iraq. ",###
"omar gonzalez is accused of jumping the white house fence in september. an initial evaluation finds him not competent to stand trial. his attorney argues gonzalez is fine, but agrees to more thorough exam. ",###
this is the fourth shark attack in maui this year. it took place about   yards offshore. officials will decide thursday if the beach can reopen. ,###
"contaminated cantaloupes have caused illnesses in   states, the cdc says. in addition to the deaths, a total of   people have fallen ill, the agency says. the fruits are thought to be tainted by listeria monocytogenes bacteria. colorado based jensen farms has recalled its cantaloupes. ",###
"the treasurys estimate is the first detailed analysis of the ongoing problem. with budget cuts, the irs cannot deal with the fraud, according to inspector general. irs says it stopped the issuance of   .  billion in potentially fraudulent tax returns. ",###
a video featuring child actors has gone viral in mexico. it shows children facing the challenges the country faces. the video asks mexican presidential candidates for real change. some of the candidates have seen the video. ,###
white house  president obama has not decided on air strikes in syria. possible options include air strikes on isis targets in syria. some consider the group a direct threat to american . security. obama spent three years avoiding a american . military role in syria. ,###
"studies show that an essential nutrient in fish oil does not appear to slow mental decline. fish oil seems to be healthy in general, but does not benefit alzheimers patients cognitively. treatments such as dha could prevent or slow dementia if started earlier in life. ",###
"christopher meloni will join hbos ""true blood"" in season  . he will play an ""ancient, powerful vampire who holds the fate of bill and eric in his hands"". the actor previously played chris keller on the pay cablers gritty drama ""oz"". ",###
"judge orders all three men to be held in police custody. ""i organized this attack, but not to the extent that it happened,"" dancer says. police say the motive was a ""hostile relationship"". state media  filin had suffered intimidation, including threatening phone calls. ",###
"ken klukowski  cases heard by supreme court could result in momentous change. he says there are questions of whether cases could be tossed because of special circumstances. if court issues sweeping ruling, it could deprive voters of chance to weigh in. klukowski  gay marriage is such a new phenomenon that court should not  freeze the debate. ",###
"liberia is one of the countries worst hit by the west african ebola outbreak. entire towns and villages have been placed into quarantine or abandoned by residents. health workers must ensure those who die of virus are buried safely, to avoid contamination. ""running away from ebola is not a solution    we have to face it, fight it,"" says alpha tamba. ",###
"the first race of the   formula one season takes place in australia on sunday. turbo engines are back in the sport, with each car boasting a  .  liter v  hybrid. former f  winner jody scheckter expects f  technology to trickle down to road cars. for the first time in the sports history, double points will be awarded at the years final race. ",###
european footballs governing body reveals list of countries bidding to host   finals. the  th anniversary edition of the finals will be hosted by   countries. thirty two countries are considering bids to host   matches. uefa will announce host cities on september  . ,###
"sunny hostin  the state attorney has made it clear that she alone will decide on charges. she says the public withdrawal by lawyers representing george zimmerman was strange. hostin  zimmermans actions may not have been covered by the ""stand your ground"" law. she says she believes in the jury system; it makes sense to let a jury decide. ",###
harvard bans all romantic relationships between professors and students. policy comes on heels of investigation into title ix violations. ,###
"as the dust settles on italys palio de siena, cnn looks at wild horse festivals. includes fire leaping in spain and samurai battles in japan. a world away from traditional races such as royal ascot or kentucky derby. some ancient horse shows date back to  th century. ",###
"new  libyas deputy foreign minister for european affairs meets with the greek prime minister. new  the envoy is expected to continue talks in turkey and malta, greek officials say. ""it is clear that the  libyan  administration is looking for a solution"". ",###
"a california court rules that sergio garcia can practice law. garcia is an undocumented immigrant. he says the ruling is a dream come true. but he wo not  practice immigration law, he says. ",###
ana ivanovic has a new all serbian team behind her for the first time. the   year old has parted company with a number of coaches in the past. the serbians last grand slam success came at the french open in  . she is feeling confident about new season after finishing   ranked  th. ,###
"official monitor will oversee fdny hiring practices, federal judge rules. monitoring will be in place for at least   years, judge nicholas garaufis says. mayor michael bloomberg defends his record for improving minority recruiting. however, garaufis says testing and hiring procedures are discriminatory. ",###
"frida ghitis  american . cannot give in to isis threats, must focus on helping kurds of iraq. ghitis  united nations . resolution should declare that muslims, rest of the world find isis horrific. ghitis  american . should make sure this is not framed as a war against islam and the west. she says isis is a threat to the whole world; europeans are joining in big numbers. ",###
"while egypt struggles to wade through political problems, its education system suffers. literacy rates are low and unemployment is high, especially among females. many middle class families are spending a large part of their income on private tutoring. a few start up companies have emerged, however, to address the education deficit. ",###
"u.s. military official tells cnn the incident occurred on july  . rc   rivet joint was on electronic eavesdropping mission in international airspace. russians began tracking with ground radar, and sent at least one fighter to intercept. u.s. plane evaded encounter by flying into swedish airspace without permission. ",###
"new  france summons syrias ambassador to protest an attack on its embassy. u.s. state department official  the syrian government incites anti american sentiment. also sunday, a state backed ""national dialogue"" meeting continued in damascus. ""the bloodshed needs to stop. ... excessive force is unjustified,"" one activist says. ",###
"in the mid  s, a zambian school teacher wanted to send the first african to space. 'the afronauts' photo book is a fictional documentation of his endeavors. the work, by cristina de middel, has been shortlisted for the deutsche bã¶rse prize. ",###
"lawrence jacobs  mitt romney was shrewd in picking paul ryan as his running mate. jacobs  ryan can supercharge conservatives, who outnumber liberals   to  . he says there are signs that obama supporters wo not  actually cast a ballot. jacobs  using ryan to ignite the gop base is probably romneys best chance of prevailing. ",###
"vince warren  at its best, american . has been key in championing universal human rights. warren  a longstanding law lets foreign victims of human rights abuse find justice in american . courts. supreme court to rule in international human rights case whether law will stand, he says. warren  if court upholds the law, the world will see american . still supports human rights for all. ",###
protesters converge on hong kongs victoria park for a candlelight vigil. it is the  nd anniversary of the bloody crackdown on pro democracy protesters. the vigil is held after recent efforts to quash anti government demonstrations. ,###
"barack obama making case to nation for increasing military action against isis. john kerry in middle east trying to get more of the regions leaders on board. germany, uk, france to offer assistance; russia wary of potential american . strikes in syria. ",###
"u.s. and south korea teams are searching for chemicals at former military bases. toxic chemicals were buried at a american . in the  s, a american veteran alleges. agent orange has been linked to some cancers. ",###
"ruben navarrette  nine dreamer activists were in federal immigration detention in arizona. they would  tried to re enter the american . asking for humanitarian parole or asylum and were jailed. he says they have been freed, granted immigration hearing, drew support from congress. navarrette  dreamers sometimes have look at me activism, but this request is valid. ",###
"two years ago, the worlds youngest country split from its northern nemesis, sudan. but during a recent visit, photographer fabio bucciarelli found ethnic violence raging. ",###
"space shuttle discovery launches just before midnight friday. discovery is scheduled to fly to international space station with a crew of seven. logistics module, science experiments, stephen colbert treadmill also aboard. ",###
"from cnns global affiliates, check out some of this weeks extreme weather conditions. a typhoon in the philippines has killed   people and destroyed thousands of homes. near auckland, new zealand, a tornado injured more than   people. ",###
"new  the retrial of former president hosni mubarak is adjourned until mid august. the retrial is being held for mubarak and his sons, as well as a former minister and security aides. mubarak was forced from office in february   following two weeks of mass street protests. mubarak was convicted last year but was granted a retrial after appealing his conviction. ",###
"singer carrie underwood uses lotion more than perfume. she counts calories, fat and fiber; cheese is her downfall. singer loves to play with makeup. ",###
"man haron monis had history of ""infatuation with extremism and mental instability,"" abbott says. hostage taker was granted political asylum in australia in  ; was on bail for violent offending. his former lawyer says he campaigned against ""the victimization of muslims and islamists"". on monis' apparent website, there is a pledge of allegiance to isis. ",###
"if you have not  tried these street foods, you have not  been to delhi. the most iconic chaat are aloo tikki, dahi bhalla and papri chaat. the best kulfi ice cream is topped with rose milk faluda. ",###
"gmail mobile app is released, then pulled, from apples online store. the app was made available for the iphone, ipad and ipod touch. google said bugs broke the apps notification system and caused error messages. no word on when fixed gmail app will be released. ",###
"defense attorneys want john hinckley to be transitioned out of a mental hospital. ""the hospital does not  know what mr. hinckley is thinking,"" the prosecutor says. the hearing may determine whether to eventually free him from a mental hospital. after john hinckley shot reagan, he was found not guilty by reason of insanity. ",###
"new  woman who alleges an affair with cain wants an apology. cain will endorse another candidate soon. cains iowa support fell to single digits, the des moines register reports. candidate was dogged by allegations of sexual harassment and an affair. ",###
"brandon stanton launched humans of new york blog. partnering with united nations ., hes on a world tour that started in iraq and jordan. his mini narratives reveal the struggles and dreams of ordinary people. ",###
"john avlon  a new cnn poll shows a reversal in the character of two major parties. avlon  traditionally, gop coalesce around a front runner; democrats root for newcomers. now, gop has an eclectic pool of presidential candidates; democrats have hillary clinton. avlon  if clinton does not run, democrats will have almost no strong candidate. ",###
"customer booked an international flight through cheapoair.com. ticket for one leg of her flight was not accepted, and she had to buy a new one. the online agency did not know why her ticket was rejected. troubleshooter contacted cheapoair, and it refunded the customers money. ",###
"shanghai has long been a unique city in china. hybrid of eastern, western traditions is found nowhere else in mainland china. shanghai ranks sixth among world cities with the most skyscrapers, with  . shanghainese dialect is filled with localized english words. ",###
"moyo received   votes, opponent paul themba nyathi received   votes. themba nyathi represented the splinter mdc faction led by arthur mutambara. mdcs shuwa mudiwa and elia jembere arrested outside parliament building. ruling zanu pf party lost majority in   seat parliament in march elections. ",###
"real talk about sex among families is more important than ever, ""speak"" author says. laurie halse andersons acclaimed young adult novel ""speak"" turns   this year. the novels central themes    teen rape and stigma    are still relevant, anderson says. ",###
"detainees file suit against ice, allege they were injected with drugs. one detainee tells cnn  ""what they did to me was very, very bad"". ice says  ,  detainees have had ""medical escorts"" since  . sen. lieberman vows to investigate further; spokesman calls charges ""troubling"". ",###
"the titanic memorial cruise is to set sail in april  ,   years after the sinking. it will depart from southampton, england, on april  , just as the titanic did. the trip will end in new york, where the titanic was headed. ",###
"production had been stalled during negotiations. jim parsons, johnny galecki and kaley cuoco reportedly will own more of the show. two other cast members are said to still be in negotiations. ",###
"new  mexican government says   people have died from virus. virus has spread to   countries, with hardest hit areas in the west. u.s. education department says outbreak has closed   schools in   states. vaccine could be made ""in a relatively short period of time,"" official says. ",###
"the whale was swimming just under the surface. it happened in tiny, remote angoon. ",###
new  former presidents carter and clinton praise bush for his initiatives in africa. new  bush says the countrys greatest days lie ahead. new  the george w. bush presidential center is dedicated. bush tells cnn he is aware it will rekindle debates about his legacy. ,###
"sebastien de la cruz,  , sang the national anthem at nba finals on tuesday. racists comments spread via twitter after the mexican american boys performance. sebastien stands resilient  ""i am  a proud american and live in a free country. it is  not hurting me."". father says he is not  ""taken the comments personally, ca not  satisfy everyone"". ",###
timothy bradley faces manny pacquiao for the wbo welterweight title in las vegas saturday. the fight is a rematch of the bitterly contested first bout between the two in  . bradley scored a points victory but received death threats after the fight. ,###
"china will launch an unmanned lunar probe in december. chang'e   will release a solar powered rover on the moons surface. the probe may interfere with a nasa lunar dust study, american . scientist says. ",###
"brad blausers wheelchairs for iraqi kids has distributed nearly   free wheelchairs. dallas native blauser lives in baghdad and works for free. ""disabled children    they are  really the forgotten ones in this war,"" he said. vote now for the cnn hero of the year at cnn.com/heroes. ",###
experts  hurried adoptions can lead to trafficking and cause more trauma to children. aid groups say focus should be on reuniting kids with relatives. reports on plight of children in haiti has led many to ask about adoptions. ,###
hilton frankfurt airport is part of a mixed use complex atop a high speed rail station. alt hotel pearson in toronto features original art and egyptian cotton linens. guests at the element miami help make electricity by using the hotels stationary bikes. ,###
"gold bar stolen from key west, florida, museum is worth more than   , . video shows crime taking place, but leads are sparse. thieves often ca not  sell stolen treasures because legitimate collectors wo not  bite. but stolen treasures are often hard to find. ",###
"new  attorney for crane operator says his client is ""being made the scapegoat"". sean benschop was denied bail sunday. a law enforcement source says marijuana was found in the crane operators blood.   died,   were injured when a building being torn down collapsed onto a thrift store. ",###
"savana redding was   when administrators suspected she was carrying drugs. no medication was found, and she later sued. justices  search was unreasonable, but individual school officials ca not  be sued. redding, now  , has said she has never gotten over her experience. ",###
"first major retrospective of pop artist andy warhols work exhibiting in china. warhol made first and only trip to china in  , which provided artistic inspiration. while iconic works are well recognized in china, few people connect them with warhol. warhol influenced chinese contemporary artists, most notably ai weiwei and xu bing. ",###
"new  those arrested have been bailed and the searches are over, police say. four current and former sun employees had been arrested, news corp. says. a   year old police officer has also been arrested, london police say. the arrests were made as part of an investigation into corruption allegations. ",###
"matteo renzi is incoming pm of italy, a country with a fractious governing system. it is  not clear how the   year old will garner more support than his predecessors. the country has problems including its two trillion euro debt pile and high unemployment. but renzi has shown he is a long distance player    and has youth and stamina on his side. ",###
"military forces say they have taken strongholds in northeastern mogadishu. the military cites ""a big achievement"". al shabaab claimed responsibility for an attack last week that killed dozens. ",###
"new  defendant rachel wades lawyer says sentence is ""very fair"". wade sentenced in april   stabbing death of sarah ludemann. wade was convicted of second degree murder. the two women were involved with the same man. ",###
"next generation ipad could come in three different versions. currently  g ipad ships with a microsim card slot, which is only used on at t. if verizon gets iphone and ipad, it would greatly expand apples potential market. ",###
the military kills more than   boko haram members in an operation in borno state. they also fend off an attack on a military checkpoint in yobe states capital.   suspected boko haram members die in fighting there. boko haram seeks to impose a strict version of sharia law across northeastern nigeria. ,###
"cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of barcelona, spain for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. ",###
"woman detonates bomb after saying she would  lost her wallet, istanbul governor says. attackers identity, motive not immediately known, governor says. attack happened at police station in popular tourism district. ",###
"theres a difference between running for president and ""running"" for president. scott brown served part of one term in the senate before losing his re election bid. theres almost no downside in a politician saying hes considering a presidential run. even some of his former advisers say they do not  know what brown is up to. ",###
"he was released early after time off for good behavior and work credit, jail official says. dharun ravi is released after serving a jail sentence. he was convicted in may on charges related to recording his gay roommate. the roommate, tyler clementi, killed himself after learning of the recording. ",###
"you do not  have to sit down to get great food in new york. opened in   in soho, a lone taco cart called calexico has expanded into a mini empire. new yorkers do not  need to go to new england for a good lobster roll, thanks to red hook lobster pound. lines form early for lumpia shacks philippines inspired food. ",###
"philip rubio says the american . postal service threatened by major cuts or even closure. he says post office represents people, places we rely on; cuts will have huge effect in american .. he says it is  a major employer, innovator and fulcrum of national communications system. rubio  congress must assume responsibilty for finding a way for postal service to stay afloat. ",###
"a cnn analysis of secret cables published by wikileaks reveals american . frustration. u.s. has concerns over economic reform, mubaraks lack of succession planning. cables also reveal washington sees egypt as an important and    until now    stable ally. ",###
"""as they see 'em"" is in depth look at baseball umpires. ""the complete game,"" by mets broadcaster ron darling, gets inside pitchers head. two positions have similarities  necessary command, some disrespect. ",###
executive order bars contractors covers lgbt employees; religious groups not exempt. it did not touch a previous order allowing religious groups to weigh faith in hiring decisions. opponents disappointed on decision involving religious groups. ,###
"in rural africa, there is love for soccer but sometimes a lack of resources. children often make their own soccer balls from rubbish and rope. diy soccer can bring joy to an entire village, said photographer jessica hilltout. ",###
